20200903	25	158
20200904	18	84
20200905	2	19
20200906	1	3
20200907	21	87
20200908	20	186
20200909	19	146
20200910	20	158
20200911	19	67
20200912	4	7
20200913	2	8
20200914	28	277
20200915	22	88
20200916	22	95
20200917	31	287
20200918	18	81
20200919	6	33
20200920	4	24
20200921	26	172
20200922	24	107
20200923	21	117
20200924	16	84
20200925	17	69
20200926	2	4
20200927	19	92
20200928	23	148
20200929	16	111
20200930	16	72
20201001	4	15
20201002	5	21
20201003	3	4
20201004	2	4
20201005	2	2
20201006	1	3
20201008	2	7
20201009	16	57
20201010	19	81
20201011	2	5
20201012	26	122
20201013	28	170
20201014	21	138
20201015	31	170
20201016	21	109
20201017	4	5
20201018	7	28
20201019	30	236
20201020	21	123
20201021	16	64
20201022	17	112
20201023	11	68
20201024	2	8
20201025	2	14
20201026	18	95
20201027	16	113
20201028	16	186
20201029	14	102
20201030	17	91
20201031	1	1
20201101	6	26
20201102	21	180
20201103	32	433
20201104	25	318
20201105	28	297
20201106	31	276
20201108	3	8
20201109	25	138
20201110	16	119
20201111	15	72
